source,neighbor,rank,distance
DJI_0460.JPG,DJI_0478.JPG,1,0.25011702946031555
DJI_0460.JPG,DJI_0461.JPG,2,0.275163301825509
DJI_0460.JPG,DJI_0462.JPG,3,0.3120861898498754
DJI_0460.JPG,DJI_0512.JPG,4,0.3985069119391835
DJI_0460.JPG,DJI_0551.JPG,5,0.5921863141567922
DJI_0460.JPG,DJI_0463.JPG,6,0.5947439897408752
DJI_0460.JPG,DJI_0521.JPG,7,0.6254108196551303
DJI_0460.JPG,DJI_0481.JPG,8,0.6919380501114077
DJI_0460.JPG,DJI_0547.JPG,9,0.7153790223810144
DJI_0460.JPG,DJI_0535.JPG,10,0.9178087305340576
DJI_0461.JPG,DJI_0460.JPG,1,0.275163301825509
DJI_0461.JPG,DJI_0478.JPG,2,0.27592651212492025
DJI_0461.JPG,DJI_0512.JPG,3,0.29043638882379735
DJI_0461.JPG,DJI_0551.JPG,4,0.3225277652996019
DJI_0461.JPG,DJI_0547.JPG,5,0.4412967685448396
DJI_0461.JPG,DJI_0463.JPG,6,0.4604949781817995
DJI_0461.JPG,DJI_0462.JPG,7,0.5189954787557011
DJI_0461.JPG,DJI_0521.JPG,8,0.5613352990993686
DJI_0461.JPG,DJI_0535.JPG,9,0.7005118574940485
DJI_0461.JPG,DJI_0481.JPG,10,0.7268889551172207
DJI_0462.JPG,DJI_0478.JPG,1,0.28995266449311335
DJI_0462.JPG,DJI_0460.JPG,2,0.3120861898498754
DJI_0462.JPG,DJI_0481.JPG,3,0.48571170175519324
DJI_0462.JPG,DJI_0461.JPG,4,0.5189954787557011
DJI_0462.JPG,DJI_0463.JPG,5,0.5995166220014895
DJI_0462.JPG,DJI_0512.JPG,6,0.7083705863741323
DJI_0462.JPG,DJI_0551.JPG,7,0.7798052996786734
DJI_0462.JPG,DJI_0521.JPG,8,0.935509549142985
DJI_0462.JPG,DJI_0547.JPG,9,0.9404749493582493
DJI_0462.JPG,DJI_0497.JPG,10,1.1919099713001058
DJI_0463.JPG,DJI_0478.JPG,1,0.3586278943660437
DJI_0463.JPG,DJI_0551.JPG,2,0.40550575230678343
DJI_0463.JPG,DJI_0481.JPG,3,0.4255985720726071
DJI_0463.JPG,DJI_0461.JPG,4,0.4604949781817995
DJI_0463.JPG,DJI_0547.JPG,5,0.5881668977561825
DJI_0463.JPG,DJI_0460.JPG,6,0.5947439897408752
DJI_0463.JPG,DJI_0462.JPG,7,0.5995166220014895
DJI_0463.JPG,DJI_0480.JPG,8,0.6442846830369561
DJI_0463.JPG,DJI_0512.JPG,9,0.7451324769354162
DJI_0463.JPG,DJI_0497.JPG,10,0.8207974679649134
DJI_0464.JPG,DJI_0486.JPG,1,0.17072216504652332
DJI_0464.JPG,DJI_0465.JPG,2,0.2966331702172275
DJI_0464.JPG,DJI_0466.JPG,3,0.2982746075687988
DJI_0464.JPG,DJI_0550.JPG,4,0.3460392555904483
DJI_0464.JPG,DJI_0467.JPG,5,0.4304744744576522
DJI_0464.JPG,DJI_0496.JPG,6,0.4442049238901653
DJI_0464.JPG,DJI_0490.JPG,7,0.45359908674562766
DJI_0464.JPG,DJI_0497.JPG,8,0.7266267511173431
DJI_0464.JPG,DJI_0487.JPG,9,0.8157891436272383
DJI_0464.JPG,DJI_0483.JPG,10,0.901143331080256
