sample_id,filepath,filename,umap_x,umap_y,latitude,longitude,file_type,size_bytes,site,camera_type
696902a9ece43907fa70abb8,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122304.jpg,20260112_122304.jpg,7.0148597,9.56433,-34.16141269972222,-70.6864044,JPEG,4051096,Lo Castillo,ground
696902a9ece43907fa70abb9,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122307.jpg,20260112_122307.jpg,3.7591665,7.301863,-34.16141269972222,-70.6864044,JPEG,4600626,Lo Castillo,ground
696902a9ece43907fa70abba,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122310.jpg,20260112_122310.jpg,7.0795445,9.357663,-34.16141269972222,-70.6864044,JPEG,5052825,Lo Castillo,ground
696902a9ece43907fa70abbb,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122432.jpg,20260112_122432.jpg,7.6626754,9.147565,-34.16146659972222,-70.68646449972222,JPEG,4988135,Lo Castillo,ground
696902a9ece43907fa70abbc,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122435.jpg,20260112_122435.jpg,7.784921,8.714276,-34.16146659972222,-70.68646449972222,JPEG,4680295,Lo Castillo,ground
696902a9ece43907fa70abbd,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122447.jpg,20260112_122447.jpg,5.851233,6.098403,-34.16146659972222,-70.68646449972222,JPEG,4822536,Lo Castillo,ground
696902a9ece43907fa70abbe,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122449.jpg,20260112_122449.jpg,5.2295103,7.3063016,-34.16146659972222,-70.68646449972222,JPEG,5868504,Lo Castillo,ground
696902a9ece43907fa70abbf,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122515.jpg,20260112_122515.jpg,5.0496135,7.1782184,-34.16159549972222,-70.6865734,JPEG,5998258,Lo Castillo,ground
696902a9ece43907fa70abc0,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122518.jpg,20260112_122518.jpg,9.6742325,6.5503216,-34.16159549972222,-70.6865734,JPEG,5644561,Lo Castillo,ground
696902a9ece43907fa70abc1,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122519.jpg,20260112_122519.jpg,5.6998897,7.0139337,-34.16159549972222,-70.6865734,JPEG,5818383,Lo Castillo,ground
696902a9ece43907fa70abc2,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122524.jpg,20260112_122524.jpg,5.9011207,6.6053486,-34.16159549972222,-70.6865734,JPEG,5691399,Lo Castillo,ground
696902a9ece43907fa70abc3,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122526.jpg,20260112_122526.jpg,8.625781,5.950753,-34.16159549972222,-70.6865734,JPEG,4814046,Lo Castillo,ground
696902a9ece43907fa70abc4,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122532.jpg,20260112_122532.jpg,6.875775,9.4273405,-34.16159549972222,-70.6865734,JPEG,5557843,Lo Castillo,ground
